,Concept_ID,is,br
478,Leben::N,líf,buhez
479,Tod::N,dauði,marv
480,Grab::N,gröf,bez
481,Kirche::N,kirkja,iliz
482,Sünde::N,synd,pec'hed
483,Gott::N,guð,doue
484,Arbeiter::N,verkamaður,labourer
485,Arbeiter::N,verkamaður,micherour
486,Chef::N,yfirmaður,penn
487,Meister::N,meistari,mestr
488,Arzt::N,læknir,mezeg
489,Arzt::N,læknir,medisin
490,Lehrer::N,kennari,skolaer
491,Lehrer::N,kennari,kelenner
492,Geld::N,peningar,arc'hant
493,Geschäft::N,viðskipti,stal
494,Laden::N,búð,stal
495,Laden::N,verslun,stal
496,Preis::N,verð,priz
497,Ware::N,vara,marc'hadourezh
498,Nutzen::N,gagn,gounidegezh
499,Nutzen::N,gagn,lañs
500,Nutzen::N,gagn,profit
501,Nutzen::N,gagn,spleit
502,Reichtum::N,auður,pinvidigezh
503,Welt::N,veröld,douar
504,Land::N,land,bro
505,Staat::N,ríki,stad
506,König::N,konungur,roue
507,Macht::N,vald,galloud
508,Grenze::N,landamæri,harzoù
509,Krieg::N,stríð,brezel
510,Feind::N,fjandmaður,eneber
511,Gewalt::N,ofbeldi,tâerder
512,Kampf::N,bardagi,kann
513,Bogen[Waffe]::N,bogi,gwareg
514,Pfeil::N,ör,saezh
515,Gewehr::N,byssa,fuzuilh
516,Fehler::N,villa,fazi
517,Lüge::N,lygi,gaou
518,Schaden::N,skemmd,gwall
519,Unglück::N,óhamingja,gwalleur
520,Schuld::N,sök,kablusted
521,Schuld::N,sök,pec'hedigezh
522,Alter::N,aldur,oad
523,Schluss::N,lok,diwezh
524,Schluss::N,endir,diwezh
525,Zeit::N,tími,amzer
526,Tag::N,dagur,deizh
527,Morgen::N,morgunn,beure
528,Morgen::N,morgunn,mintin
529,Mittag::N,hádegi,kreisteiz
530,Abend::N,kvöld,abardaez
531,Nacht::N,nótt,noz
532,Woche::N,vika,sizhun
533,Monat::N,mánuður,miz
534,Jahr::N,ár,bloaz
535,Frühling::N,vor,nevezamzer
536,Sommer::N,sumar,hañv
537,Herbst::N,haust,diskaramzer
538,Winter::N,vetur,goañv
539,Januar::N,janúar,Genver
540,Februar::N,február,C'hwevrer
541,März::N,mars,Meurzh
542,April::N,apríl,Ebrel
543,Mai::N,maí,Mae
544,Juni::N,júní,Mezheven
545,Juli::N,júlí,Gouhere
546,August::N,ágúst,Eost
547,September::N,september,Gwengolo
548,Oktober::N,október,Here
549,November::N,nóvember,Du
550,Dezember::N,desember,Kerzu
551,Montag::N,mánudagur,Lun
552,Dienstag::N,þriðjudagur,Meurzh
553,Mittwoch::N,miðvikudagur,Merc'her
554,Donnerstag::N,fimmtudagur,Yaou
555,Freitag::N,föstudagur,Gwener
556,Samstag::N,laugardagur,Sadorn
557,Sonntag::N,sunnudagur,Sul
558,groß::A,stór,bras
559,klein::A,lítill,bihan
560,lang::A,langur,hir
561,kurz::A,stuttur,berr
562,breit::A,breiður,ledan
563,schmal::A,mjór,strizh
564,dicht::A,þéttur,stank
565,dick[Gegenstand]::A,þykkur,tev
566,dünn::A,þunnur,moan
567,fein::A,fíngerður,munut
568,fest::A,fastur,start
569,flach::A,flatur,plaen
570,glatt::A,háll,lintr
571,glatt::A,háll,levn
572,glatt::A,sléttur,lintr
573,glatt::A,sléttur,levn
574,hart::A,harður,kalet
575,weich::A,mjúkur,blot
576,rund::A,kringlóttur,ront
577,spitz::A,oddhvass,poentet
578,scharf::A,beittur,dremm
579,stumpf::A,bitlaus,talsoc'h
580,schwer::A,þungur,pounner
581,schön::A,fagur,kaer
582,schön::A,fallegur,kaer
583,heiß::A,heitur,tomm
584,warm::A,hlýr,tomm
585,warm::A,heitur,tomm
586,kalt::A,kaldur,yen
587,kühl::A,svalur,yen
588,frisch::A,frískur,fresk
589,feucht::A,rakur,gleb
590,feucht::A,þvalur,gleb
591,nass::A,votur,gleb
592,nass::A,blautur,gleb
593,trocken::A,þurr,sec'h
594,voll::A,fullur,leun
595,leer::A,tómur,goullo
596,offen::A,opinn,digor
597,geschlossen::A,lokaður,serr
598,sauber::A,þrifinn,naet
599,schmutzig::A,óhreinn,lous
600,schmutzig::A,sóðalegur,lous
601,roh::A,hrár,kriz
602,reif::A,þroskaður,darev
603,lecker::A,ljúffengur,lipous
604,lecker::A,ljúffengur,saourus
605,süß::A,sætur,dous
606,bitter::A,beiskur,c'hwerv
607,sauer::A,súr,trenk
608,hell::A,bjartur,sklaer
609,dunkel::A,dimmur,teñval
610,schwarz::A,svartur,du
611,weiß::A,hvítur,gwenn
612,rot::A,rauður,ruz
613,gelb::A,gulur,melen
614,blau::A,blár,glas
615,grün::A,grænn,gwer
616,grau::A,grár,louet
617,bunt::A,marglitur,liesliv
618,billig::A,ódýr,marc'had-mat
619,teuer::A,dýr,ker
620,wertvoll::A,verðmætur,prizius
621,blind::A,blindur,dall
622,taub::A,heyrnarlaus,bouzar
623,kräftig::A,öflugur,start
624,stark::A,sterkur,kreñv
625,schwach::A,veill,gwan
626,fett::A,feitur,lard
627,schlank::A,grannur,sinkl
628,schlank::A,spengilegur,sinkl
629,hübsch::A,snotur,koant
630,hübsch::A,laglegur,koant
631,böse::A,illur,gwall
632,böse::A,vondur,gwall
633,dumm::A,heimskur,glep
634,faul::A,latur,lezirek
635,fleißig::A,iðinn,studius
636,geizig::A,nískur,tost
637,klug::A,hygginn,speredek
638,geschickt::A,fimur,dornet
639,geschickt::A,laginn,dornet
