,Concept_ID,fr,et
363,Höhe::N,altitude,kõrgus
364,Gewicht::N,poids,kaal
365,Gewicht::N,poids,raskus
366,Menge::N,quantité,arv
367,Menge::N,quantité,hulk
368,Haufen::N,tas,hunnik
369,Reihe::N,file,rivi
370,Reihe::N,rangée,rivi
371,Boot::N,canot,paat
372,Boot::N,bateau,paat
373,Ruder::N,rame,aer
374,Ruder::N,aviron,aer
375,Schlitten::N,traîneau,saan
376,Ski::N,ski,suusk
377,Lagerfeuer::N,feu de camp,lõke
378,Last::N,charge,koorem
379,Last::N,fardeau,koorem
380,Gang::N,tour,käik
381,Gang::N,marche,käik
382,Schritt::N,pas,samm
383,Norden::N,nord,põhi
384,Süden::N,sud,lõuna
385,Westen::N,ouest,lääs
386,Westen::N,occident,lääs
387,Osten::N,est,ida
388,Osten::N,orient,ida
389,Holz::N,bois,puu
390,Brett::N,planche,saelaud
391,Platte::N,plaque,plaat
392,Stütze::N,appui,tugi
393,Stütze::N,soutien,tugi
394,Stange::N,barre,latt
395,Stange::N,barre,teivas
396,Stange::N,perche,latt
397,Stange::N,perche,teivas
398,Stock::N,canne,kepp
399,Stab::N,bâton,varras
400,Rohr::N,tube,toru
401,Rohr::N,tuyau,toru
402,Haus::N,maison,maja
403,Heim::N,maison,kodu
404,Ofen::N,poêle,ahi
405,Fußboden::N,plancher,põrand
406,Tisch::N,table,laud
407,Stuhl::N,chaise,tool
408,Wiege::N,berceau,häll
409,Wiege::N,berceau,kätki
410,Bett::N,lit,voodi
411,Regal::N,étagère,riiul
412,Kiste::N,caisse,kast
413,Fenster::N,fenêtre,aken
414,Tür::N,porte,uks
415,Tor::N,porte,värav
416,Tor::N,portail,värav
417,Zaun::N,clôture,aed
418,Zaun::N,clôture,tara
419,Dach::N,toit,katus
420,Leiter::N,échelle,redel
421,Besen::N,balai,luud
422,Spaten::N,bêche,labidas
423,Schaufel::N,pelle,kühvel
424,Gabel::N,fourchette,kahvel
425,Löffel::N,cuiller,lusikas
426,Messer::N,couteau,nuga
427,Nagel::N,clou,nael
428,Netz::N,filet,võrk
429,Haken::N,croc,haak
430,Haken::N,croc,konks
431,Haken::N,crochet,haak
432,Haken::N,crochet,konks
433,Griff::N,prise,sang
434,Griff::N,prise,käepide
435,Griff::N,manche,sang
436,Griff::N,manche,käepide
437,Schloss::N,serrure,lukk
438,Bild::N,image,pilt
439,Bild::N,tableau,pilt
440,Figur::N,figure,kuju
441,Figur::N,figure,kujund
442,Puppe::N,poupée,nukk
443,Beutel::N,sac,paun
444,Beutel::N,petit sac,paun
445,Bündel::N,paquet,kimp
446,Bündel::N,faisceau,kimp
447,Tasche::N,sac,kott
448,Eimer::N,seau,pang
449,Eimer::N,seau,ämber
450,Deckel::N,couvercle,kaas
451,Geschirr::N,vaisselle,nõud
452,Sack::N,sac,kott
453,Tasse::N,tasse,tass
454,Topf::N,pot,pada
455,Topf::N,marmite,pada
456,Kessel::N,chaudron,pada
457,Essen::N,repas,söök
458,Essen::N,manger,söök
459,Nahrung::N,nourriture,toit
460,Speise::N,plat,roog
461,Fleisch::N,viande,liha
462,Getreide::N,blé,teravili
463,Getreide::N,céréales,teravili
464,Brei::N,purée,puder
465,Brei::N,bouillie,puder
466,Brot::N,pain,sai
467,Brot::N,pain,leib
468,Scheibe::N,tranche,viil
469,Scheibe::N,tranche,viilukas
470,Fett::N,graisse,rasv
471,Butter::N,beurre,või
472,Öl::N,huile,õli
473,Salz::N,sel,sool
474,Suppe::N,soupe,supp
475,Suppe::N,potage,supp
476,Honig::N,miel,mesi
477,Milch::N,lait,piim
478,Tee::N,thé,tee
479,Leder::N,cuir,nahk
480,Wolle::N,laine,vill
481,Stoff::N,tissu,kangas
482,Stoff::N,étoffe,kangas
483,Nadel::N,aiguille,nõel
484,Faden::N,fil,niit
485,Knopf::N,bouton,nööp
486,Knoten::N,nœud,sõlm
487,Farbe::N,peinture,värv
488,Kleidung::N,vêtements,riided
489,Kleidung::N,vêtements,riietus
490,Kleidung::N,habillement,riided
491,Kleidung::N,habillement,riietus
492,Hemd::N,chemise,särk
493,Kragen::N,col,krae
494,Ärmel::N,manche,varrukas
495,Hose::N,pantalon,püksid
496,Gürtel::N,ceinture,vöö
497,Mütze::N,bonnet,müts
498,Mütze::N,casquette,müts
499,Schuh::N,soulier,king
500,Schuh::N,chaussure,king
501,Stiefel::N,botte,saabas
502,Ring::N,bague,sõrmus
503,Band::N,ruban,lint
504,Kamm::N,peigne,kamm
505,Spiegel::N,glace,peegel
506,Spiegel::N,miroir,peegel
507,Riemen::N,lanière,rihm
508,Riemen::N,courroie,rihm
509,Schnur::N,corde,nöör
510,Schnur::N,ficelle,nöör
511,Leine::N,laisse,jalutusrihm
512,Decke::N,couverture,tekk
513,Kissen::N,oreiller,padi
514,Tuch::N,drap,kalev
515,Tuch::N,fichu,kalev
516,Handtuch::N,serviette,käterätik
517,Handtuch::N,essuie-mains,käterätik
518,Kraft::N,force,jõud
519,Stärke::N,vigueur,tugevus
520,Gesundheit::N,santé,tervis
521,Krankheit::N,maladie,haigus
522,Schmerz::N,douleur,valu
523,Wunde::N,plaie,haav
524,Wunde::N,blessure,haav
525,Fieber::N,fièvre,palavik
526,Arznei::N,remède,ravim
527,Arznei::N,médecine,ravim
528,Brücke::N,pont,sild
529,Brunnen::N,puits,kaev
530,Weide::N,pâturage,karjamaa
531,Pfad::N,sentier,rada
532,Weg::N,voie,tee
533,Weg::N,chemin,tee
534,Straße::N,route,tee
535,Dorf::N,village,küla
536,Stadt::N,cité,linn
537,Stadt::N,ville,linn
538,Brief::N,lettre,kiri
539,Buch::N,livre,raamat
540,Buchstabe::N,lettre,täht
541,Buchstabe::N,caractère,täht
542,Zeitung::N,journal,ajaleht
543,Leben::N,vie,elu
544,Tod::N,mort,surm
545,Grab::N,tombe,haud
546,Kirche::N,église,kirik
547,Sünde::N,péché,patt
548,Gott::N,dieu,jumal
549,Arbeiter::N,ouvrier,tööline
550,Arbeiter::N,travailleur,tööline
551,Chef::N,chef,ülemus
552,Chef::N,chef,juhataja
553,Chef::N,patron,ülemus
554,Chef::N,patron,juhataja
555,Meister::N,maître,meister
556,Arzt::N,médecin,arst
557,Lehrer::N,professeur,õpetaja
558,Lehrer::N,instituteur,õpetaja
559,Geld::N,argent,raha
560,Geschäft::N,affaire,äri
561,Geschäft::N,commerce,äri
562,Laden::N,magasin,pood
563,Laden::N,magasin,kauplus
564,Laden::N,boutique,pood
565,Laden::N,boutique,kauplus
566,Preis::N,prix,hind
567,Ware::N,marchandise,kaup
568,Nutzen::N,profit,tulu
569,Nutzen::N,profit,kasulikkus
570,Reichtum::N,richesse,rikkus
571,Welt::N,monde,maailm
572,Land::N,pays,maa
573,Staat::N,État,riik
574,König::N,roi,kuningas
575,Macht::N,pouvoir,võim
576,Macht::N,puissance,võim
577,Grenze::N,frontière,piir
578,Krieg::N,guerre,sõda
579,Feind::N,ennemi,vaenlane
580,Gewalt::N,violence,väevõim
581,Kampf::N,lutte,võitlus
582,Kampf::N,combat,võitlus
583,Bogen[Waffe]::N,arc,vibu
584,Pfeil::N,flèche,nool
585,Gewehr::N,fusil,püss
586,Fehler::N,faute,viga
587,Fehler::N,erreur,viga
588,Lüge::N,mensonge,vale
589,Schaden::N,dégât,kahju
590,Schaden::N,dommage,kahju
591,Unglück::N,malheur,häda
592,Unglück::N,malheur,õnnetus
593,Schuld::N,faute,süü
594,Schuld::N,culpabilité,süü
595,Alter::N,âge,iga
596,Schluss::N,fin,lõpp
597,Zeit::N,temps,aeg
