,Concept_ID,ba,ta
480,Schluss::N,аҙаҡ,முடிவு
481,Zeit::N,мәл,காலம்
482,Zeit::N,заман,காலம்
483,Tag::N,көн,நாள்
484,Morgen::N,иртә,காலை நேரம்
485,Morgen::N,иртәнсәк,காலை நேரம்
486,Mittag::N,төш,மதியம்
487,Abend::N,кис,மாலைப் பொழுது
488,Nacht::N,төн,இரவு
489,Woche::N,аҙна,வாரம்
490,Monat::N,ай,மாதம்
491,Jahr::N,йыл,வருடம்
492,Frühling::N,яҙ,வசந்தம்
493,Sommer::N,йәй,கோடை
494,Herbst::N,көз,இலையுதிர் காலம்
495,Winter::N,ҡыш,குளிர்காலம்
496,Januar::N,ғинуар,ஜனவரி
497,Februar::N,февраль,பிபரவரி மாதம்
498,März::N,март,மார்ச் மாதம்
499,April::N,апрель,ஏப்ரல் மாதம்
500,Mai::N,май,மே மாதம்
501,Juni::N,июнь,ஜூன் மாதம்
502,Juli::N,июль,ஜூலை மாதம்
503,August::N,август,ஆகஸ்ட் மாதம்
504,September::N,сентябрь,செப்டம்பர் மாதம்
505,Oktober::N,октябрь,அக்டோபர் மாதம்
506,November::N,ноябрь,நவம்பர் மாதம்
507,Dezember::N,декабрь,டிசம்பர்
508,Montag::N,дүшәмбе,திங்கட் கிழமை
509,Dienstag::N,шишәмбе,செவ்வாய்க்கிழமை
510,Mittwoch::N,шаршамбы,புதன் கிழமை
511,Donnerstag::N,кесаҙна,வியாழக் கிழமை
512,Freitag::N,йома,வெள்ளிக்கிழமை
513,Samstag::N,шәмбе,சனிக்கிழமை
514,Sonntag::N,йәкшәмбе,ஞாயிறுக் கிழமை
515,groß::A,ҙур,பெரிய
516,klein::A,бәләкәс,சிறிய
517,lang::A,оҙон,நீண்ட
518,kurz::A,ҡыҫҡа,குட்டையான
519,breit::A,киң,அகலமான
520,schmal::A,тар,குறுகலான
521,dicht::A,йыш,அடர்த்தியான
522,dicht::A,ҡуйы,அடர்த்தியான
523,dick[Gegenstand]::A,ҡалын,தடித்த
524,dünn::A,йоҡа,சன்னமான
525,dünn::A,нәҙек,சன்னமான
526,fein::A,нескә,மெல்லிய
527,fest::A,ныҡ,உறுதியாள
