,Concept_ID,es,it
463,Schaufel::N,paleta,pala
464,Gabel::N,tenedor,forchetta
465,Löffel::N,cuchara,cucchiaio
466,Messer::N,cuchillo,coltello
467,Nagel::N,clavo,chiodo
468,Netz::N,red,rete
469,Haken::N,gancho,uncino
470,Haken::N,corchete,uncino
471,Griff::N,asa,mànico
472,Griff::N,asa,maniglia
473,Griff::N,mango,mànico
474,Griff::N,mango,maniglia
475,Schloss::N,cerradura,serratura
476,Bild::N,imagen,quadro
477,Bild::N,imagen,immàgine
478,Figur::N,figura,figura
479,Puppe::N,muñeca,bàmbola
480,Beutel::N,bolsa,borsa
481,Beutel::N,bolsa,sacchetto
482,Bündel::N,haz,fascio
483,Bündel::N,haz,fagotto
484,Tasche::N,bolso,borsa
485,Eimer::N,cubo,secchio
486,Deckel::N,tapa,coperchio
487,Deckel::N,tapadera,coperchio
488,Geschirr::N,vajilla,stoviglie
489,Sack::N,saco,sacco
490,Tasse::N,taza,tazza
491,Topf::N,olla,pèntola
492,Topf::N,marmita,pèntola
493,Kessel::N,caldera,paiolo
494,Kessel::N,caldera,calderone
495,Essen::N,comida,pasto
496,Essen::N,comida,mangiare
497,Nahrung::N,alimento,cibo
498,Nahrung::N,alimento,alimento
499,Speise::N,plato,piatto
500,Fleisch::N,carne,carne
501,Getreide::N,cereales,cereali
502,Brei::N,puré,purè
503,Brei::N,puré,pappa
504,Brei::N,papilla,purè
505,Brei::N,papilla,pappa
506,Brot::N,pan,pane
507,Scheibe::N,lonja,fetta
508,Scheibe::N,lonja,trancia
509,Scheibe::N,rebanada,fetta
510,Scheibe::N,rebanada,trancia
511,Fett::N,grasa,grasso
512,Butter::N,mantequilla,burro
513,Öl::N,aceite,olio
514,Salz::N,sal,sale
515,Suppe::N,sopa,zuppa
516,Suppe::N,sopa,minestra
517,Honig::N,miel,miele
518,Milch::N,leche,latte
519,Tee::N,té,tè
520,Leder::N,cuero,pelle
521,Wolle::N,lana,lana
522,Stoff::N,tela,panno
523,Stoff::N,tela,tessuto
524,Stoff::N,tejido,panno
525,Stoff::N,tejido,tessuto
526,Nadel::N,aguja,ago
527,Faden::N,hilo,filo
528,Knopf::N,botón,bottone
529,Knoten::N,nudo,nodo
530,Farbe::N,pintura,pittura
531,Kleidung::N,ropa,vestiti
532,Kleidung::N,ropa,vestiario
533,Kleidung::N,vestidos,vestiti
534,Kleidung::N,vestidos,vestiario
535,Hemd::N,camisa,camicia
536,Kragen::N,cuello,bàvero
537,Kragen::N,cuello,colletto
538,Ärmel::N,manga,mànica
539,Hose::N,pantalón,calzoni
540,Gürtel::N,cinturón,cintura
541,Mütze::N,gorro,berretto
542,Schuh::N,zapato,scarpa
543,Stiefel::N,bota,stivale
544,Ring::N,anillo,anello
545,Band::N,cinta,nastro
546,Band::N,cinta,fettuccia
547,Kamm::N,peine,pèttine
548,Spiegel::N,espejo,specchio
549,Riemen::N,correa,cinghia
550,Schnur::N,cuerda,corda
551,Leine::N,correa,guinzaglio
552,Decke::N,manta,coperta
553,Kissen::N,almohada,cuscino
554,Kissen::N,almohada,guanciale
555,Tuch::N,pañuelo,fazzoletto
556,Handtuch::N,toalla,asciugamano
557,Kraft::N,fuerza,forza
558,Stärke::N,fuerza,forza
559,Stärke::N,fuerza,vigore
560,Stärke::N,fuerza,fortezza
561,Gesundheit::N,salud,salute
562,Krankheit::N,enfermedad,malattìa
563,Schmerz::N,dolor,dolore
564,Wunde::N,llaga,piaga
565,Wunde::N,llaga,ferita
566,Wunde::N,herida,piaga
567,Wunde::N,herida,ferita
568,Fieber::N,fiebre,febbre
569,Arznei::N,medicina,fàrmaco
570,Arznei::N,medicina,medicina
571,Arznei::N,medicamento,fàrmaco
572,Arznei::N,medicamento,medicina
573,Brücke::N,puente,ponte
574,Brunnen::N,pozo,pozzo
575,Weide::N,pasto,pàscolo
576,Pfad::N,sendero,sentiero
577,Weg::N,camino,via
578,Weg::N,camino,cammino
579,Straße::N,vía,strada
580,Straße::N,carretera,strada
581,Dorf::N,aldea,paese
582,Dorf::N,aldea,villaggio
583,Dorf::N,pueblo,paese
584,Dorf::N,pueblo,villaggio
585,Stadt::N,ciudad,città
586,Brief::N,carta,lèttera
587,Buch::N,libro,libro
588,Buchstabe::N,letra,lèttera
589,Buchstabe::N,carácter,lèttera
590,Zeitung::N,diario,giornale
591,Zeitung::N,periódico,giornale
592,Leben::N,vida,vita
593,Tod::N,muerte,morte
594,Grab::N,tumba,tomba
595,Grab::N,tumba,sepolcro
596,Grab::N,sepulcro,tomba
597,Grab::N,sepulcro,sepolcro
598,Kirche::N,iglesia,chiesa
599,Sünde::N,pecado,peccato
600,Gott::N,dios,dio
601,Arbeiter::N,obrero,operaio
602,Arbeiter::N,obrero,lavoratore
603,Arbeiter::N,trabajador,operaio
604,Arbeiter::N,trabajador,lavoratore
605,Chef::N,jefe,capo
606,Chef::N,jefe,padrone
607,Meister::N,maestro,mastro
608,Meister::N,maestro,maestro
609,Arzt::N,médico,mèdico
610,Arzt::N,médico,dottore
611,Lehrer::N,profesor,professore
612,Geld::N,dinero,soldi
613,Geld::N,dinero,denaro
614,Geschäft::N,negocio,affare
615,Geschäft::N,negocio,negozio
616,Laden::N,tienda,negozio
617,Preis::N,precio,prezzo
618,Ware::N,mercancía,merce
619,Nutzen::N,provecho,ùtile
620,Nutzen::N,provecho,profitto
621,Reichtum::N,riqueza,ricchezza
622,Welt::N,mundo,mondo
623,Land::N,país,paese
624,Staat::N,Estado,Stato
625,König::N,rey,re
626,Macht::N,poder,potere
627,Macht::N,potencia,potere
628,Grenze::N,frontera,confine
629,Grenze::N,frontera,frontiera
630,Krieg::N,guerra,guerra
631,Feind::N,enemigo,nemico
632,Gewalt::N,violencia,violenza
633,Kampf::N,lucha,lotta
634,Kampf::N,combate,lotta
635,Bogen[Waffe]::N,arco,arco
636,Pfeil::N,flecha,freccia
637,Gewehr::N,fusil,fucile
638,Gewehr::N,escopeta,fucile
639,Fehler::N,error,errore
640,Fehler::N,error,sbaglio
641,Lüge::N,mentira,bugìa
642,Lüge::N,mentira,menzogna
643,Schaden::N,daño,danno
644,Unglück::N,desgracia,sfortuna
645,Schuld::N,culpa,colpa
646,Alter::N,edad,età
647,Schluss::N,fin,fine
648,Schluss::N,final,fine
649,Zeit::N,tiempo,tempo
650,Tag::N,día,giorno
651,Tag::N,día,giornata
652,Morgen::N,mañana,mattina
653,Mittag::N,mediodía,mezzogiorno
654,Abend::N,noche,sera
655,Abend::N,noche,serata
656,Nacht::N,noche,notte
657,Woche::N,semana,settimana
658,Monat::N,mes,mese
659,Jahr::N,año,anno
660,Frühling::N,primavera,primavera
661,Sommer::N,verano,estate
662,Herbst::N,otoño,autunno
663,Winter::N,invierno,inverno
664,Januar::N,enero,gennaio
665,Februar::N,febrero,febbraio
666,März::N,marzo,marzo
667,April::N,abril,aprile
668,Mai::N,mayo,maggio
669,Juni::N,junio,giugno
670,Juli::N,julio,luglio
671,August::N,agosto,agosto
672,September::N,septiembre,settembre
673,Oktober::N,octubre,ottobre
