,Concept_ID,en,kv
677,schon::ADV,already,ни
678,wieder::ADV,again,бӧра
679,vergebens::ADV,in vain,весись
680,vor::PRP,in front of,одзас
681,hinter::PRP,behind,бӧрӧ
682,unter::PRP,under,увтын
683,durch::PRP,through,пыр
684,neben::PRP,next to,бокам
685,neben::PRP,next to,боксиным
686,zwischen::PRP,between,коласас
687,wegen::PRP,because of,понда
688,dies::PRN,this,эта
689,das::PRN,that,сiя
690,alles::PRN,everything,быдӧс
691,ich::PRN,I,ме
692,du::PRN,you,тэ
693,du::PRN,thou,тэ
694,er::PRN,he,сiя
695,wir::PRN,we,мийӧ
696,ihr::PRN,you,ті
697,sie::PRN,they,нія
698,was::FPRN,what,мый
699,wer::FPRN,who,кин
700,wo::FADV,where,кытӧн
701,wohin::FADV,where ... to,кытчӧ
702,wohin::FADV,where to,кытчӧ
703,wohin::FADV,where,кытчӧ
704,wie::FADV,how,дзик
705,warum::FADV,why,мыля
706,warum::FADV,why,мыйсянь
707,wieviel::FNUM,how much,мымда
708,eins::NUM,one,ӧт
709,zwei::NUM,two,кык
710,drei::NUM,three,куим
711,vier::NUM,four,нёль
712,fünf::NUM,five,вит
713,sechs::NUM,six,квать
714,sieben::NUM,seven,сизим
715,acht::NUM,eight,кыкьямыс
716,neun::NUM,nine,ӧкмыс
717,zehn::NUM,ten,дас
718,elf::NUM,eleven,дасотік
719,zwölf::NUM,twelve,даскык
720,zwanzig::NUM,twenty,кыкдас
721,dreißig::NUM,thirty,куимдас
722,vierzig::NUM,forty,нёльдас
723,fünfzig::NUM,fifty,витдас
724,sechzig::NUM,sixty,кватьдас
725,siebzig::NUM,seventy,сизимдас
726,achtzig::NUM,eighty,кыкьямысдас
727,neunzig::NUM,ninety,ӧкмысдас
728,hundert::NUM,a hundred,сто
729,tausend::NUM,a thousand,тысяча
730,und::CNJ,and,и
731,und::CNJ,and,да
732,oder::CNJ,or,или
733,stehen::V,stand,сулавны
734,sitzen::V,sit,пукавны
735,liegen::V,lie,куйлыны
736,hängen::V,hang,ӧшавны
737,werden::V,become,лоны
738,passieren::V,happen,аркмыны
739,beginnen::V,begin,петны
740,enden::V,end,-сь
741,enden::V,end,бырны
742,wechseln::V,change,вежсьыны
743,aufgehen[Sonne]::V,rise,петавны
744,untergehen[Sonne]::V,set,пуксьыны
745,scheinen[Sonne]::V,shine,югьявны
746,donnern::V,thunder,гымавны
747,wehen::V,blow,пӧлявны
748,strömen::V,stream,киссьыны
749,fließen::V,flow,визывтны
750,sich drehen::V,revolve,бергавны
751,schwanken::V,sway,кӧвьясьны
752,schwingen::V,swing,дюттясьны
753,fallen::V,fall,усьны
754,brennen::V,burn,сотчыны
755,rauchen::V,smoke,тшынасьны
756,regnen::V,rain,зэрны
757,gefrieren::V,freeze,гегдыны
758,tauen::V,thaw,сывны
759,schmelzen::V,melt,сывны
760,trocknen::V,dry,косьмыны
761,sieden::V,boil,пизьны
762,faulen::V,rot,нёльзьыны
763,verfaulen::V,decay,тӧрмыны
764,verfaulen::V,decay,сiсьмыны
765,reißen::V,snap,косясьны
766,versinken::V,sink,вӧйны
767,vergehen::V,pass,мунны
768,erscheinen::V,appear,мыччисьны
769,verschwinden::V,disappear,ӧшны
770,sinken::V,drop,ямны
771,abnehmen::V,decrease,ямны
772,zunehmen::V,increase,паськавны
773,steigen::V,rise,лэбтiсьны
774,wachsen::V,grow,быдмыны
775,glänzen::V,shine,свиттявны
776,funkeln::V,sparkle,югйовтлыны
777,funkeln::V,sparkle,югйӧв-керны
778,lärmen::V,be noisy,чавзыны
779,läuten::V,chime,диньгыны
780,klingeln::V,ring,силькӧтны
781,klirren::V,tinkle,жольӧтны
782,brausen::V,roar,гуасьны
783,rauschen::V,rustle,кышӧтны
784,klingen::V,sound,горавны
785,bellen::V,bark,увтны
786,bellen::V,bark,вувтны
787,heulen::V,howl,уннявны
788,blasen::V,blow,пӧлявны
789,pfeifen::V,whistle,пиксыны
790,schreien::V,shout,айзыны
791,stöhnen::V,groan,ойзыны
792,stöhnen::V,groan,ружтыны
793,zittern::V,tremble,легьявны
794,leben::V,be alive,овны
795,geboren werden::V,be born,шогмыны
796,atmen::V,breathe,лолавны
797,trinken::V,drink,юны
798,essen::V,eat,сёйны
799,schlucken::V,swallow,ньылавны
800,müde werden::V,get tired,мыдзны
801,einschlafen::V,fall asleep,ланьтны
802,schlafen::V,sleep,узьны
803,aufwachen::V,wake up,саймыны
804,aufwachen::V,wake up,пальмыны
805,aufstehen::V,get up,сувтны
806,sich erholen::V,relax,шоччисьлыны
807,krank werden::V,fall ill,моржитны
808,krank sein::V,be ill,шогавны
809,krank sein::V,be ill,визьӧтны
810,schmerzen::V,ache,висьны
811,husten::V,cough,кашляйтны
812,genesen::V,recover,бурдны
813,sterben::V,die,кувны
814,umkommen::V,perish,вийсьыны
815,sich bewegen::V,move,локны
816,sich bewegen::V,move,ветлӧтны
817,sich rühren::V,budge,вӧрзьӧтчыны
818,sich erheben::V,stand up,сувтны
819,sich setzen::V,sit down,пуксьыны
820,hinfallen::V,tumble,пӧрласьны
821,laufen::V,walk,мунны
822,schreiten::V,pace,тальччавны
823,spazierengehen::V,go for a walk,котрасьны
824,eilen::V,rush,тэрмасьны
825,sich beeilen::V,hurry,тэрмасьны
826,sausen::V,dash,вирдавны-котӧртны
827,rennen::V,run,
828,springen::V,jump,чеччавны
829,klettern::V,climb,кышасьны
830,schaukeln::V,seesaw,чурликасьны
831,kriechen::V,creep,кыскасьны-мунны
832,schwimmen::V,swim,вартчыны
833,tauchen::V,dive,сунгисьны ваӧ
834,rudern::V,row,сынны
835,fahren::V,drive,мунны
836,fliegen::V,fly,лэбавны
837,gehen::V,go,мунны
838,weggehen::V,go away,мунны
