,Concept_ID,el,ta
362,Leiter::N,κλίμακα,ஏணி
363,Besen::N,σκούπα,விளக்குமாறு
364,Spaten::N,φτυάρι,மண்வெட்டி
365,Schaufel::N,φτυάρι,அடிதண்டா
366,Gabel::N,πιρούνι,முட்கரண்டி
367,Löffel::N,κουτάλι,கரண்டி
368,Messer::N,μαχαίρι,கத்தி
369,Nagel::N,καρφί,ஆணி
370,Netz::N,δίχτυ,வலை
371,Haken::N,γάντζος,கொக்கி
372,Haken::N,αγκίστρι,கொக்கி
373,Griff::N,λαβή,கைப்பிடி
374,Schloss::N,κλειδαριά,பூட்டு
375,Bild::N,εικόνα,படம்
376,Figur::N,ανάστημα,எண்ணிக்கை
377,Puppe::N,κούκλα,பொம்மை
378,Beutel::N,πουγγί,பை
379,Bündel::N,δεμάτι,பொதி
380,Tasche::N,τσάντα,பை
381,Eimer::N,κουβάς,வாளி
382,Deckel::N,καπάκι,உறை
383,Geschirr::N,σκεύη,பாத்திரம்
384,Sack::N,σάκος,பை
385,Tasse::N,φλιτζάνι,கிண்ணம்
386,Topf::N,χύτρα,பானை
387,Kessel::N,καζάνι,கெண்டி
388,Essen::N,φαγητό,உணவருந்துதல்
389,Nahrung::N,τροφή,உணவு
390,Speise::N,φαγητό,உணவு வகை
391,Fleisch::N,κρέας,இறைச்சி
392,Getreide::N,σιτάρι,மக்காச்சோளம்
393,Brei::N,χυλός,கஞ்சி
394,Brot::N,ψωμί,ரொட்டி
395,Brot::N,άρτος,ரொட்டி
396,Scheibe::N,φέτα,துண்டு
397,Fett::N,πάχος,கொழுப்பு
398,Butter::N,βούτυρο,வெண்ணெய்
399,Öl::N,λάδι,எண்ணெய்
400,Salz::N,αλάτι,உப்பு
401,Suppe::N,σούπα,ரசம்
402,Honig::N,μέλι,தேன்
403,Milch::N,γάλα,பால்
404,Tee::N,τσάι,தெனீர்
405,Leder::N,πετσί,பதம் செய்யப்பட்ட தோல்
406,Wolle::N,μαλλί,கம்பளி
407,Stoff::N,ύφασμα,துணி
408,Nadel::N,βελόνα,ஊசி
409,Faden::N,κλωστή,நூல்
410,Knopf::N,κουμπί,பொத்தான்
411,Knoten::N,κόμπος,முடிச்சு
412,Farbe::N,μπογιά,வண்ணக் குழம்பு
413,Kleidung::N,ρούχα,ஆடைகள்
414,Kleidung::N,ενδυμασία,ஆடைகள்
415,Hemd::N,πουκάμισο,சட்டை
416,Kragen::N,κολάρο,கழுத்துப் பட்டை
417,Ärmel::N,μανίκι,சட்டைக்கை
418,Hose::N,πανταλόνι,கால்சட்டை
419,Gürtel::N,ζώνη,பெல்ட்
420,Mütze::N,σκούφος,தொப்பி
421,Schuh::N,παπούτσι,காலணி
422,Stiefel::N,μπότα,காலணி
423,Ring::N,δαχτυλίδι,மோதிரம்
424,Band::N,κορδέλα,நாடா
425,Kamm::N,χτένα,கீப்பு
426,Spiegel::N,καθρέφτης,ஆடி
427,Spiegel::N,καθρέφτης,கண்ணாடி
428,Riemen::N,λουρί,வார்
429,Schnur::N,κορδόνι,கயிறு
430,Leine::N,σχοινί,தோல்வார்
431,Decke::N,κουβέρτα,போர்வை
432,Kissen::N,μαξιλάρι,தலையணை
433,Tuch::N,πανί,துணி
434,Tuch::N,μαντήλι,துணி
435,Handtuch::N,πετσέτα,தண்டு
436,Kraft::N,δύναμη,நிர்பந்தம்
437,Stärke::N,ισχύς,பலம்
438,Stärke::N,δύναμη,பலம்
439,Gesundheit::N,υγεία,ஆரோக்கியம்
440,Krankheit::N,αρρώστια,நோய்
441,Schmerz::N,πόνος,வலி
442,Wunde::N,πληγή,காயம்
443,Fieber::N,πυρετός,காய்ச்சல்
444,Arznei::N,φάρμακο,மருந்து
445,Brücke::N,γέφυρα,பாலம்
446,Brunnen::N,πηγάδι,கேணி
447,Weide::N,βοσκή,மேய்ச்சல் நிலம்
448,Pfad::N,μονοπάτι,நடை வழி
449,Weg::N,δρόμος,வழி
450,Straße::N,οδός,சாலை
451,Straße::N,δρόμος,சாலை
452,Dorf::N,χωριό,கிராமம்
453,Stadt::N,πόλη,நகரம்
454,Brief::N,γράμμα,கடிதம்
455,Brief::N,επιστολή,கடிதம்
456,Buch::N,βιβλίο,புத்தகம்
457,Buchstabe::N,γράμμα,எழத்து
458,Zeitung::N,εφημερίδα,செய்தித்தாள்
459,Leben::N,ζωή,வாழ்க்கை
460,Leben::N,βίος,வாழ்க்கை
461,Tod::N,θάνατος,மரணம்
462,Grab::N,τάφος,சமாதி
463,Kirche::N,εκκλησία,தேவாலயம்
464,Sünde::N,αμαρτία,பாவம்
465,Gott::N,θεός,கடவுள்
466,Arbeiter::N,εργάτης,தொழிலாளி
467,Chef::N,προϊστάμενος,மேலாளர்
468,Meister::N,μάστορας,தலைவன்
469,Meister::N,αρχιτεχνίτης,தலைவன்
470,Arzt::N,γιατρός,மருத்துவர்
471,Lehrer::N,δάσκαλος,ஆசிரியர்
472,Geld::N,λεφτά,பணம்
473,Geld::N,χρήματα,பணம்
474,Geschäft::N,συναλλαγή,வாணிபம்
475,Laden::N,μαγαζί,கடை
476,Laden::N,κατάστημα,கடை
477,Preis::N,τιμή,விலை
478,Ware::N,εμπόρευμα,சாமன்கள்
479,Nutzen::N,όφελος,இலாபம்
480,Reichtum::N,πλούτος,சொத்து
481,Welt::N,κόσμος,உலகம்
482,Land::N,χώρα,நாடு
483,Staat::N,κράτος,நாடு
484,Staat::N,πολιτεία,நாடு
485,König::N,βασιλιάς,அரசன்
486,Macht::N,εξουσία,அதிகாரம்
487,Grenze::N,σύνορα,எல்லை
488,Krieg::N,πόλεμος,போர்
489,Feind::N,εχθρός,எதிரி
490,Gewalt::N,βία,வன்முறை
491,Kampf::N,αγώνας,போராட்டம்
492,Bogen[Waffe]::N,τόξο,வில்
493,Pfeil::N,σαΐτα,அம்பு
494,Gewehr::N,τουφέκι,துப்பாக்கி
495,Fehler::N,λάθος,தவறு
496,Fehler::N,σφάλμα,தவறு
497,Lüge::N,ψέμα,பொய்
498,Lüge::N,ψεύδος,பொய்
499,Schaden::N,ζημία,சேதாரம்
500,Unglück::N,δυστυχία,இடையூறு
501,Schuld::N,ενοχή,குற்றம்
502,Schuld::N,φταίξιμο,குற்றம்
503,Alter::N,ηλικία,வயது
504,Schluss::N,τέλος,முடிவு
505,Zeit::N,χρόνος,காலம்
506,Tag::N,μέρα,நாள்
507,Tag::N,ημέρα,நாள்
508,Morgen::N,πρωί,காலை நேரம்
509,Mittag::N,μεσημέρι,மதியம்
510,Abend::N,βράδυ,மாலைப் பொழுது
511,Nacht::N,νύχτα,இரவு
512,Woche::N,εβδομάδα,வாரம்
513,Monat::N,μήνας,மாதம்
514,Jahr::N,έτος,வருடம்
515,Jahr::N,χρόνος,வருடம்
516,Frühling::N,άνοιξη,வசந்தம்
517,Sommer::N,καλοκαίρι,கோடை
518,Herbst::N,φθινόπωρο,இலையுதிர் காலம்
519,Winter::N,χειμώνας,குளிர்காலம்
520,Januar::N,Ιανουάριος,ஜனவரி
521,Februar::N,Φεβρουάριος,பிபரவரி மாதம்
522,März::N,Μάρτιος,மார்ச் மாதம்
523,April::N,Απρίλιος,ஏப்ரல் மாதம்
524,Mai::N,Μάιος,மே மாதம்
525,Juni::N,Ιούνιος,ஜூன் மாதம்
526,Juli::N,Ιούλιος,ஜூலை மாதம்
527,August::N,Αύγουστος,ஆகஸ்ட் மாதம்
528,September::N,Σεπτέμβριος,செப்டம்பர் மாதம்
529,Oktober::N,Οκτώβριος,அக்டோபர் மாதம்
530,November::N,Νοέμβριος,நவம்பர் மாதம்
531,Dezember::N,Δεκέμβριος,டிசம்பர்
532,Montag::N,Δευτέρα,திங்கட் கிழமை
533,Dienstag::N,Τρίτη,செவ்வாய்க்கிழமை
534,Mittwoch::N,Τετάρτη,புதன் கிழமை
535,Donnerstag::N,Πέμπτη,வியாழக் கிழமை
536,Freitag::N,Παρασκευή,வெள்ளிக்கிழமை
537,Samstag::N,Σάββατο,சனிக்கிழமை
538,Sonntag::N,Κυριακή,ஞாயிறுக் கிழமை
539,groß::A,μεγάλος,பெரிய
540,klein::A,μικρός,சிறிய
541,lang::A,μακρύς,நீண்ட
542,kurz::A,κοντός,குட்டையான
543,breit::A,φαρδύς,அகலமான
544,schmal::A,στενός,குறுகலான
545,dicht::A,πυκνός,அடர்த்தியான
546,dick[Gegenstand]::A,παχύς,தடித்த
547,dick[Gegenstand]::A,χοντρός,தடித்த
548,dünn::A,ψιλός,சன்னமான
549,dünn::A,λεπτός,சன்னமான
550,fein::A,ψιλός,மெல்லிய
551,fest::A,στερεός,உறுதியாள
552,flach::A,επίπεδος,தட்டையான
553,glatt::A,λείος,வழுவழுப்பான
554,glatt::A,ομαλός,வழுவழுப்பான
555,hart::A,σκληρός,கடினமான
556,weich::A,μαλακός,மென்மையான
557,rund::A,στρογγυλός,உருண்டையான
558,spitz::A,μυτερός,திகந்தமாக
559,scharf::A,κοφτερός,கூரான
560,stumpf::A,αμβλύς,உளம் திறந்த
561,schwer::A,βαρύς,கனமான
562,schön::A,ωραίος,அழகான
563,schön::A,όμορφος,அழகான
564,heiß::A,ζεστός,சூடான
565,warm::A,θερμός,இதமான
566,kalt::A,κρύος,குளிர்ச்சியான
567,kalt::A,ψυχρός,குளிர்ச்சியான
568,kühl::A,δροσερός,குளிர்ச்சியான
569,frisch::A,νωπός,சுத்தமான
570,frisch::A,φρέσκος,சுத்தமான
571,feucht::A,υγρός,ஈரமான
572,nass::A,βρεγμένος,ஈரமான
573,trocken::A,ξηρός,உலர்ந்த
574,trocken::A,στεγνός,உலர்ந்த
575,voll::A,γεμάτος,நிரம்பிய
576,leer::A,άδειος,காலியான
577,offen::A,ανοιχτός,திறந்த
578,geschlossen::A,κλειστός,மூடப்பட்ட
579,sauber::A,καθαρός,சுத்தமான
580,schmutzig::A,βρώμικος,அழக்கான
581,schmutzig::A,λερωμένος,அழக்கான
582,roh::A,ωμός,கச்சா
583,reif::A,ώριμος,பழுத்த
584,lecker::A,νόστιμος,சுவைமிக்க
585,süß::A,γλυκός,இனிப்பான
586,bitter::A,πικρός,கசப்பான
587,sauer::A,ξινός,புளிப்பாக
588,hell::A,φωτεινός,பளபளப்பான
589,dunkel::A,σκοτεινός,கருமையான
590,schwarz::A,μαύρος,கருப்பு வண்ண
591,schwarz::A,μελανός,கருப்பு வண்ண
592,weiß::A,άσπρος,வெண்மையன
593,rot::A,κόκκινος,சிவப்பு
594,gelb::A,κίτρινος,மஞ்சள் வண்ணம்
595,blau::A,μπλε,நீல வண்ண
596,blau::A,γαλανός,நீல வண்ண
597,grün::A,πράσινος,பச்சை வண்ண
598,grau::A,γκρίζος,சாம்பல் நிற
599,bunt::A,ποικιλόχρωπος,வண்ண மயமான
600,billig::A,φτηνός,மலிவான
601,teuer::A,ακριβός,விலை அதிகமான
602,wertvoll::A,πολύτιμος,மதிப்புள்ள
603,blind::A,τυφλός,பார்வையற்ற
604,taub::A,κουφός,செவிடான
605,kräftig::A,δυνατός,வலிமையான
606,stark::A,γερός,பலமான
607,schwach::A,αδύνατος,பலவீனமான
608,fett::A,παχύς,பருமனாக
609,schlank::A,λεπτός,ஒல்லியான
610,schlank::A,λυγερός,ஒல்லியான
611,hübsch::A,όμορφος,அழகிய
612,hübsch::A,χαριτωμένος,அழகிய
613,böse::A,κακός,கேடு விளைவிக்கும்
614,dumm::A,κουτός,முட்டாள்தனமான
615,dumm::A,ανόητος,முட்டாள்தனமான
616,faul::A,τεμπέλης,சோம்பலான
617,fleißig::A,εργατικός,ஊக்கந்தளராத
618,geizig::A,τσιγγούνης,கஞேசத்தனமான
619,klug::A,έξυπνος,சாதுரியமான
620,geschickt::A,επιδέξιος,திறமையள்ள
621,lieb::A,φίλος,அன்புக்குரிய
622,lieb::A,αγαπητός,அன்புக்குரிய
623,lustig::A,εύθυμος,களிப்புமிக்க
624,lustig::A,χαρούμενος,களிப்புமிக்க
625,sanft::A,ήπιος,சாதுவான
626,hungrig::A,πεινασμένος,பசியுடன்
627,krank::A,άρρωστος,நோயுற்று
628,nackt::A,γυμνός,ஆடையற்ற
629,traurig::A,λυπημένος,சோகமான
