,Concept_ID,no,ru
610,sanft::A,blid,нежный
611,hungrig::A,sulten,голодный
612,krank::A,syk,больной
613,nackt::A,naken,голый
614,traurig::A,sørgmodig,грустный
615,lebendig::A,levende,живой
616,gut::A,god,хороший
617,schlecht::A,dårlig,плохой
618,richtig::A,riktig,правильный
619,schlimm::A,slem,отвратительный
620,schlimm::A,slem,мерзкий
621,wahr::A,sann,настоящий
622,alt::A,gammel,старый
623,neu::A,ny,новый
624,ehemalig::A,forhenværende,бывший
625,alt[Lebewesen]::A,gammel,пожилой
626,jung::A,ung,молодой
627,arm::A,fattig,бедный
628,reich::A,rik,богатый
629,bekannt::A,kjent,знакомый
630,berühmt::A,berømt,знаменитый
631,fremd::A,fremmed,чужой
632,verschieden::A,forskjellig,разный
633,nah::A,nær,близкий
634,fern::A,fjern,далекий
635,linker::A,venstre,левый
636,rechter::A,høyre,правый
637,anderer::A,annen,другой
638,erster::A,første,первый
639,zweiter::A,annen,второй
640,dritter::A,tredje,третий
641,letzter::A,sist,последний
642,allein::ADV,alene,один
643,auf einmal::ADV,med ett,сразу
644,zusammen::ADV,sammen,вместе
645,lange::ADV,lenge,долго
646,plötzlich::ADV,plutselig,вдруг
647,sofort::ADV,straks,тотчас
648,später::ADV,senere,позже
649,jetzt::ADV,nå,сейчас
650,heute::ADV,i dag,сегодня
651,morgen::ADV,i morgen,завтра
652,bald::ADV,snart,скоро
653,dann::ADV,så,потом
654,gestern::ADV,i går,вчера
655,einst::ADV,engang,однажды
656,damals::ADV,den gang,тогда
657,danach::ADV,deretter,затем
658,vorher::ADV,før,раньше
659,vorher::ADV,i forveien,раньше
660,zuerst::ADV,først,сперва
661,einmal::ADV,en gang,раз
662,manchmal::ADV,somme tider,иногда
663,oft::ADV,ofte,часто
664,immer::ADV,alltid,всегда
665,niemals::ADV,aldri,никогда
666,hier::ADV,her,здесь
667,hierhin::ADV,hit,сюда
668,von hier::ADV,herfra,отсюда
669,dort::ADV,der,там
670,dorthin::ADV,dit,туда
671,geradeaus::ADV,rett fram,прямо
672,vorwärts::ADV,fram,вперед
673,vorwärts::ADV,framover,вперед
674,rückwärts::ADV,baklengs,назад
675,zurück::ADV,tilbake,обратно
676,unten::ADV,nede,внизу
677,hinab::ADV,ned,вниз
678,hinab::ADV,nedover,вниз
679,oben::ADV,oppe,наверху
680,oben::ADV,ovenpå,наверху
681,hinauf::ADV,opp,вверх
682,hinauf::ADV,oppover,вверх
683,überall::ADV,overalt,везде
684,nicht::ADV,ikke,не
685,ein wenig::ADV,litt,немного
686,kaum::ADV,neppe,едва
687,sehr::ADV,svært,очень
688,so::ADV,så,так
689,noch::ADV,enda,еще
690,nur::ADV,bare,только
691,schon::ADV,alt,уже
692,schon::ADV,allerede,уже
693,wieder::ADV,igjen,опять
694,vergebens::ADV,forgjeves,напрасно
695,vor::PRP,foran,перед
696,vor::PRP,utenfor,перед
697,hinter::PRP,bak,за
698,hinter::PRP,bak,позади
699,hinter::PRP,bakom,за
700,hinter::PRP,bakom,позади
701,unter::PRP,under,под
702,durch::PRP,gjennom,сквозь
703,durch::PRP,igjennom,сквозь
704,neben::PRP,ved siden av,возле
705,zwischen::PRP,mellom,между
706,wegen::PRP,på grunn av,из-за
707,dies::PRN,dette,это
708,das::PRN,det,то
709,alles::PRN,alt,все
710,ich::PRN,jeg,я
711,du::PRN,du,ты
712,er::PRN,han,он
713,wir::PRN,vi,мы
714,ihr::PRN,dere,вы
715,sie::PRN,de,они
716,was::FPRN,hva,что
717,wer::FPRN,hvem,кто
718,wo::FADV,hvor,где
719,wohin::FADV,hvor ... hen,куда
720,wie::FADV,hvordan,как
721,warum::FADV,hvorfor,почему
722,wieviel::FNUM,hvor mye,сколько
723,eins::NUM,en,один
724,eins::NUM,ett,один
725,zwei::NUM,to,два
726,drei::NUM,tre,три
727,vier::NUM,fire,четыре
728,fünf::NUM,fem,пять
729,sechs::NUM,seks,шесть
730,sieben::NUM,sju,семь
731,acht::NUM,åtte,восемь
732,neun::NUM,ni,девять
733,zehn::NUM,ti,десять
734,elf::NUM,elleve,одиннадцать
735,zwölf::NUM,tolv,двенадцать
736,zwanzig::NUM,tjue,двадцать
737,dreißig::NUM,tretti,тридцать
738,vierzig::NUM,førti,сорок
739,fünfzig::NUM,femti,пятьдесят
740,sechzig::NUM,seksti,шестьдесят
741,siebzig::NUM,sytti,семьдесят
742,achtzig::NUM,åtti,восемьдесят
743,neunzig::NUM,nitti,девяносто
744,hundert::NUM,hundre,сто
745,tausend::NUM,tusen,тысяча
746,und::CNJ,og,и
747,oder::CNJ,eller,или
748,oder::CNJ,eller,либо
749,stehen::V,stå,стоять
750,sitzen::V,sitte,сидеть
751,liegen::V,ligge,лежать
752,hängen::V,henge,висеть
753,werden::V,bli,стать
754,passieren::V,skje,случиться
755,passieren::V,hende,случиться
756,beginnen::V,begynne,начаться
757,enden::V,ende,кончиться
758,enden::V,slutte,кончиться
759,wechseln::V,veksle,меняться
760,aufgehen[Sonne]::V,stå opp,взойти
761,untergehen[Sonne]::V,gå ned,зайти
762,scheinen[Sonne]::V,skinne,светить
763,donnern::V,tordne,греметь
764,wehen::V,blåse,дуть
765,strömen::V,strømme,литься
766,fließen::V,flyte,течь
767,sich drehen::V,dreie seg,вращаться
768,schwanken::V,svaie,колебаться
769,schwingen::V,svinge,качаться
770,fallen::V,falle,падать
771,brennen::V,brenne,гореть
772,rauchen::V,ryke,дымить
773,regnen::V,regne,дождить
774,gefrieren::V,fryse,замерзнуть
775,tauen::V,tine,таять
776,schmelzen::V,smelte,плавиться
777,trocknen::V,tørre,сохнуть
778,sieden::V,koke,кипеть
779,faulen::V,råtne,гнить
780,verfaulen::V,råtne,сгнить
781,reißen::V,briste,рваться
782,versinken::V,synke,тонуть
783,versinken::V,synke ned,тонуть
784,vergehen::V,forløpe,проходить
785,erscheinen::V,synes,появиться
786,verschwinden::V,forsvinne,исчезнуть
787,sinken::V,synke,спадать
788,abnehmen::V,avta,уменьшиться
789,abnehmen::V,minske,уменьшиться
790,zunehmen::V,tilta,увеличиваться
791,steigen::V,stige,подниматься
792,wachsen::V,gro,расти
793,wachsen::V,vokse,расти
794,glänzen::V,skinne,блестеть
795,funkeln::V,tindre,сверкать
796,lärmen::V,bråke,шуметь
797,läuten::V,ringe,звонить
798,klingeln::V,ringe,звонить
799,klirren::V,klirre,звякать
800,brausen::V,bruse,бушевать
801,rauschen::V,suse,шелестеть
802,klingen::V,lyde,звучать
803,klingen::V,klinge,звучать
804,bellen::V,gjø,лаять
805,bellen::V,bjeffe,лаять
806,heulen::V,ule,выть
807,blasen::V,blåse,дунуть
808,pfeifen::V,plystre,свистеть
809,schreien::V,skrike,кричать
810,stöhnen::V,stønne,стонать
811,zittern::V,dirre,дрожать
812,zittern::V,skjelve,дрожать
813,leben::V,leve,жить
814,geboren werden::V,fødes,родиться
815,atmen::V,ånde,дышать
816,atmen::V,puste,дышать
817,trinken::V,drikke,пить
818,essen::V,spise,есть
819,essen::V,spise,кушать
820,schlucken::V,svelge,глотать
821,müde werden::V,bli trett,устать
822,einschlafen::V,sovne,заснуть
823,schlafen::V,sove,спать
824,aufwachen::V,våkne,проснуться
825,aufstehen::V,stå opp,встать
826,sich erholen::V,bli bra,отдыхать
827,sich erholen::V,komme seg,отдыхать
828,krank werden::V,bli syk,заболеть
829,krank sein::V,være syk,болеть
830,schmerzen::V,gjøre vondt,болеть
831,husten::V,hoste,кашлять
832,genesen::V,komme seg,поправиться
833,sterben::V,dø,умереть
834,umkommen::V,omkomme,погибнуть
835,sich bewegen::V,bevege seg,двигаться
836,sich rühren::V,røre på seg,шевельнуться
837,sich erheben::V,reise seg,встать
838,sich setzen::V,sette sig,сесть
839,hinfallen::V,falle over ende,упасть
840,laufen::V,løpe,ходить
841,schreiten::V,skride,шагать
842,spazierengehen::V,spasere,гулять
843,spazierengehen::V,gå en tur,гулять
844,eilen::V,ile,спешить
845,sich beeilen::V,skynde seg,торопиться
846,sausen::V,suse,мчаться
847,rennen::V,løpe,бегать
848,springen::V,hoppe,прыгать
849,springen::V,springe,прыгать
850,klettern::V,klatre,лазать
851,schaukeln::V,huske,раскачиваться
852,kriechen::V,krype,ползать
853,schwimmen::V,svømme,плавать
854,tauchen::V,dykke,нырять
855,rudern::V,ro,грести
856,fahren::V,kjøre,ехать
857,fliegen::V,fly,летать
858,gehen::V,gå,идти
