,Concept_ID,ta,cs
514,Jahr::N,வருடம்,rok
515,Frühling::N,வசந்தம்,jaro
516,Sommer::N,கோடை,léto
517,Herbst::N,இலையுதிர் காலம்,podzim
518,Winter::N,குளிர்காலம்,zima
519,Januar::N,ஜனவரி,leden
520,Februar::N,பிபரவரி மாதம்,únor
521,März::N,மார்ச் மாதம்,březen
522,April::N,ஏப்ரல் மாதம்,duben
523,Mai::N,மே மாதம்,květen
524,Juni::N,ஜூன் மாதம்,červen
525,Juli::N,ஜூலை மாதம்,červenec
526,August::N,ஆகஸ்ட் மாதம்,srpen
527,September::N,செப்டம்பர் மாதம்,září
528,Oktober::N,அக்டோபர் மாதம்,říjen
529,November::N,நவம்பர் மாதம்,listopad
530,Dezember::N,டிசம்பர்,prosinec
531,Montag::N,திங்கட் கிழமை,pondělí
532,Montag::N,திங்கட் கிழமை,pondělek
533,Dienstag::N,செவ்வாய்க்கிழமை,úterý
534,Mittwoch::N,புதன் கிழமை,středa
535,Donnerstag::N,வியாழக் கிழமை,čtvrtek
536,Freitag::N,வெள்ளிக்கிழமை,pátek
537,Samstag::N,சனிக்கிழமை,sobota
538,Sonntag::N,ஞாயிறுக் கிழமை,neděle
539,groß::A,பெரிய,velký
540,klein::A,சிறிய,malý
541,lang::A,நீண்ட,dlouhý
542,kurz::A,குட்டையான,krátký
543,breit::A,அகலமான,široký
544,schmal::A,குறுகலான,úzký
545,dicht::A,அடர்த்தியான,hustý
546,dick[Gegenstand]::A,தடித்த,tlustý
547,dünn::A,சன்னமான,tenký
548,fein::A,மெல்லிய,jemný
549,fest::A,உறுதியாள,pevný
550,flach::A,தட்டையான,plochý
551,flach::A,தட்டையான,placatý
552,glatt::A,வழுவழுப்பான,hladký
553,hart::A,கடினமான,tvrdý
554,weich::A,மென்மையான,měkký
555,rund::A,உருண்டையான,kulatý
556,rund::A,உருண்டையான,okrouhlý
557,spitz::A,திகந்தமாக,špičatý
558,scharf::A,கூரான,ostrý
559,stumpf::A,உளம் திறந்த,tupý
560,schwer::A,கனமான,těžký
561,schön::A,அழகான,pěkný
562,schön::A,அழகான,krásný
563,heiß::A,சூடான,horký
564,warm::A,இதமான,teplý
565,kalt::A,குளிர்ச்சியான,studený
566,kühl::A,குளிர்ச்சியான,chladný
567,frisch::A,சுத்தமான,svěží
568,feucht::A,ஈரமான,vlhký
569,nass::A,ஈரமான,mokrý
570,trocken::A,உலர்ந்த,suchý
571,voll::A,நிரம்பிய,plný
572,leer::A,காலியான,prázdný
573,offen::A,திறந்த,otevřený
574,geschlossen::A,மூடப்பட்ட,zavřený
575,sauber::A,சுத்தமான,čistý
576,schmutzig::A,அழக்கான,špinavý
577,roh::A,கச்சா,syrový
578,reif::A,பழுத்த,zralý
579,lecker::A,சுவைமிக்க,chutný
580,süß::A,இனிப்பான,sladký
581,bitter::A,கசப்பான,hořký
582,sauer::A,புளிப்பாக,kyselý
583,hell::A,பளபளப்பான,světlý
584,dunkel::A,கருமையான,temný
585,schwarz::A,கருப்பு வண்ண,černý
586,weiß::A,வெண்மையன,bílý
587,rot::A,சிவப்பு,rudý
588,rot::A,சிவப்பு,červený
589,gelb::A,மஞ்சள் வண்ணம்,žlutý
590,blau::A,நீல வண்ண,modrý
591,grün::A,பச்சை வண்ண,zelený
592,grau::A,சாம்பல் நிற,šedý
593,grau::A,சாம்பல் நிற,šedivý
594,bunt::A,வண்ண மயமான,pestrý
595,billig::A,மலிவான,levný
596,billig::A,மலிவான,laciný
597,teuer::A,விலை அதிகமான,drahý
598,wertvoll::A,மதிப்புள்ள,cenný
599,blind::A,பார்வையற்ற,slepý
600,taub::A,செவிடான,hluchý
601,kräftig::A,வலிமையான,silný
602,stark::A,பலமான,silný
603,schwach::A,பலவீனமான,slabý
604,fett::A,பருமனாக,tučný
605,fett::A,பருமனாக,tlustý
606,schlank::A,ஒல்லியான,štíhlý
607,hübsch::A,அழகிய,hezký
608,böse::A,கேடு விளைவிக்கும்,zlý
609,dumm::A,முட்டாள்தனமான,hloupý
610,faul::A,சோம்பலான,líný
611,fleißig::A,ஊக்கந்தளராத,pilný
612,geizig::A,கஞேசத்தனமான,lakomý
613,klug::A,சாதுரியமான,chytrý
614,geschickt::A,திறமையள்ள,šikovný
615,lieb::A,அன்புக்குரிய,milý
616,lustig::A,களிப்புமிக்க,veselý
617,sanft::A,சாதுவான,mírný
618,hungrig::A,பசியுடன்,hladový
619,krank::A,நோயுற்று,nemocný
620,nackt::A,ஆடையற்ற,nahý
621,traurig::A,சோகமான,smutný
622,traurig::A,சோகமான,truchlivý
623,lebendig::A,பிழைப்பு,živý
624,gut::A,நல்ல,dobrý
625,schlecht::A,கெட்ட,špatný
626,richtig::A,சரியான,pravý
627,richtig::A,சரியான,správný
628,schlimm::A,அருவருப்பான,zlý
629,wahr::A,உண்மையான,pravdivý
630,alt::A,பழைய,starý
631,neu::A,புதிய,nový
632,ehemalig::A,முன்நாள்,bývalý
633,alt[Lebewesen]::A,வயதான,starý
634,jung::A,இளமையான,mladý
635,arm::A,ஏழ்மையான,chudý
636,reich::A,செல்வம் படைத்த,bohatý
637,bekannt::A,பழக்கப்பட்ட,známý
638,berühmt::A,புகழ்பெற்ற,slavný
639,fremd::A,அயல் நாட்டு,cizí
640,verschieden::A,வித்தியாசமான,různý
641,verschieden::A,வித்தியாசமான,rozličný
642,nah::A,பக்கத்தில் உள்ள,blízký
643,fern::A,தொலை தூரத்தில்,daleký
644,linker::A,மீந்திருக்கும்,levý
645,rechter::A,வலதுபக்கம்,pravý
646,anderer::A,மற்ற,jiný
647,erster::A,முதனமையான,první
648,zweiter::A,இரண்டாவது,druhý
649,dritter::A,மூன்றாவது,třetí
650,letzter::A,கடைசி,poslední
651,allein::ADV,தனியாக,sám
652,auf einmal::ADV,தடீரென்று,najednou
653,zusammen::ADV,சேர்ந்து,spolu
654,zusammen::ADV,சேர்ந்து,dohromady
655,lange::ADV,அதிக நோம்,dlouho
656,plötzlich::ADV,தடீரென்று,vtom
657,plötzlich::ADV,தடீரென்று,náhle
658,sofort::ADV,உடனடியாக,hned
659,sofort::ADV,உடனடியாக,ihned
660,später::ADV,பிறகு,později
661,jetzt::ADV,இப்பொழது,teď
662,jetzt::ADV,இப்பொழது,nyní
663,heute::ADV,இன்று,dnes
664,heute::ADV,இன்று,dneska
665,morgen::ADV,நாளைக்கு,zítra
666,bald::ADV,சீக்கிரம்,brzo
667,dann::ADV,அப்பொழுது,pak
668,dann::ADV,அப்பொழுது,potom
669,gestern::ADV,நேற்று,včera
670,einst::ADV,ஒரே முறை,kdysi
671,damals::ADV,அப்பொழுது,tehdy
672,damals::ADV,அப்பொழுது,tenkrát
673,danach::ADV,பிற்பாடு,podle toho
674,vorher::ADV,முன்பாக,dříve
675,vorher::ADV,முன்பாக,napřed
676,zuerst::ADV,முதலில்,nejprve
677,zuerst::ADV,முதலில்,nejdříve
678,einmal::ADV,ஒரே முறை,jednou
679,manchmal::ADV,சில நேரங்களில்,někdy
680,oft::ADV,அடிக்கடி,často
681,immer::ADV,எப்பொழுதும்,vždy
682,immer::ADV,எப்பொழுதும்,stále
683,niemals::ADV,ஒருபோதும் இல்லை,nikdy
684,hier::ADV,இங்கே,zde
685,hier::ADV,இங்கே,tady
686,hierhin::ADV,இவ்விடத்திற்கு,sem
687,von hier::ADV,இனி,odtud
688,dort::ADV,அங்கே,tam
689,dorthin::ADV,அவ்விடத்திற்கு,tam
690,geradeaus::ADV,முன்னாலிருக்கும்,rovně
691,vorwärts::ADV,முன்புறமாக,kupředu
692,rückwärts::ADV,பின்னோக்கி,zpět
