,Concept_ID,fr,sv
416,Stock::N,canne,käpp
417,Stock::N,canne,pinne
418,Stab::N,bâton,stav
419,Rohr::N,tube,rör
420,Rohr::N,tuyau,rör
421,Haus::N,maison,hus
422,Heim::N,maison,hem
423,Ofen::N,poêle,ugn
424,Fußboden::N,plancher,golv
425,Tisch::N,table,bord
426,Stuhl::N,chaise,stol
427,Wiege::N,berceau,vagga
428,Bett::N,lit,säng
429,Regal::N,étagère,hylla
430,Kiste::N,caisse,låda
431,Fenster::N,fenêtre,fönster
432,Tür::N,porte,dörr
433,Tor::N,porte,port
434,Tor::N,portail,port
435,Zaun::N,clôture,staket
436,Zaun::N,clôture,stängsel
437,Dach::N,toit,tak
438,Leiter::N,échelle,stege
439,Besen::N,balai,kvast
440,Spaten::N,bêche,spade
441,Schaufel::N,pelle,skovel
442,Schaufel::N,pelle,skyffel
443,Gabel::N,fourchette,gaffel
444,Löffel::N,cuiller,sked
445,Messer::N,couteau,kniv
446,Nagel::N,clou,spik
447,Netz::N,filet,nät
448,Haken::N,croc,krok
449,Haken::N,crochet,krok
450,Griff::N,prise,tag
451,Griff::N,prise,handtag
452,Griff::N,manche,tag
453,Griff::N,manche,handtag
454,Schloss::N,serrure,las
455,Bild::N,image,bild
456,Bild::N,tableau,bild
457,Figur::N,figure,figur
458,Puppe::N,poupée,docka
459,Beutel::N,sac,påse
460,Beutel::N,petit sac,påse
461,Bündel::N,paquet,bunt
462,Bündel::N,paquet,knippa
463,Bündel::N,faisceau,bunt
464,Bündel::N,faisceau,knippa
465,Tasche::N,sac,väska
466,Eimer::N,seau,hink
467,Eimer::N,seau,ämbar
468,Deckel::N,couvercle,lock
469,Geschirr::N,vaisselle,servis
470,Geschirr::N,vaisselle,porslin
471,Sack::N,sac,säck
472,Tasse::N,tasse,kopp
473,Topf::N,pot,gryta
474,Topf::N,pot,kastrull
475,Topf::N,marmite,gryta
476,Topf::N,marmite,kastrull
477,Kessel::N,chaudron,kittel
478,Essen::N,repas,mål
479,Essen::N,manger,mål
480,Nahrung::N,nourriture,näring
481,Speise::N,plat,maträtt
482,Fleisch::N,viande,kött
483,Getreide::N,blé,säd
484,Getreide::N,blé,spannmål
485,Getreide::N,céréales,säd
486,Getreide::N,céréales,spannmål
487,Brei::N,purée,gröt
488,Brei::N,bouillie,gröt
489,Brot::N,pain,bröd
490,Scheibe::N,tranche,skiva
491,Fett::N,graisse,fett
492,Butter::N,beurre,smör
493,Öl::N,huile,olja
494,Salz::N,sel,salt
495,Suppe::N,soupe,soppa
496,Suppe::N,potage,soppa
497,Honig::N,miel,honung
498,Milch::N,lait,mjölk
499,Tee::N,thé,te
500,Leder::N,cuir,läder
501,Wolle::N,laine,ull
502,Wolle::N,laine,ylle
503,Stoff::N,tissu,tyg
504,Stoff::N,tissu,stoff
505,Stoff::N,étoffe,tyg
506,Stoff::N,étoffe,stoff
507,Nadel::N,aiguille,nål
508,Faden::N,fil,tråd
509,Knopf::N,bouton,knapp
510,Knoten::N,nœud,knut
511,Farbe::N,peinture,färg
512,Kleidung::N,vêtements,klädsel
513,Kleidung::N,habillement,klädsel
514,Hemd::N,chemise,skjorta
515,Kragen::N,col,krage
516,Ärmel::N,manche,ärm
517,Hose::N,pantalon,byxor
518,Gürtel::N,ceinture,bälte
