,Concept_ID,cv,te
505,Welt::N,тӗнче,ప్రపంచము
506,Land::N,ҫӗр-шыв,దేశము
507,Staat::N,патшàлӑх,రాజ్యము
508,König::N,король,రాజు
509,Macht::N,власть,అధికారము
510,Grenze::N,чикӗ,సరిహద్దు
511,Krieg::N,вӑрҫӑ,యుద్ధము
512,Feind::N,тӑшман,శత్రువు
513,Gewalt::N,ирӗксӗрлӳ,దౌర్జన్యము
514,Kampf::N,кӗрешӳ,పోట్లాట
515,Bogen[Waffe]::N,ухӑ,విల్లు
516,Pfeil::N,ҫӗмрен,బాణము
517,Pfeil::N,ухӑ йӗппи,బాణము
518,Gewehr::N,пӑшал,తుపాకి
519,Fehler::N,йӑнӑш,తప్ప
520,Lüge::N,суя,అసత్యము
521,Lüge::N,ултав,అసత్యము
522,Schaden::N,сиен,నష్టము
523,Unglück::N,шар,దురదృష్టము
524,Unglück::N,инкек,దురదృష్టము
525,Schuld::N,айӑп,తప్పు
526,Alter::N,ҫул шучӗ,వయస్సు
527,Schluss::N,пӗтни,ముగింపు
528,Schluss::N,пӗтмӗш,ముగింపు
529,Zeit::N,вӑхӑт,కాలము
530,Tag::N,кун,దినము
531,Morgen::N,ир,ఉదయము
532,Mittag::N,кӑнтӑрла,మధ్యాహ్నము
533,Abend::N,каҫ,సాయంకాలము
534,Nacht::N,каҫ,రత్రి
535,Woche::N,эрне,వారము
536,Monat::N,уйӑх,నెల
537,Jahr::N,ҫулталӑк,సంవత్సరము
538,Frühling::N,ҫур,వసంతకాలము
539,Frühling::N,ҫуркунне,వసంతకాలము
540,Sommer::N,ҫу,వేసవికాము
541,Sommer::N,ҫулла,వేసవికాము
542,Herbst::N,кӗр,ఆకురాలుకాలము
543,Herbst::N,кӗркунне,ఆకురాలుకాలము
544,Winter::N,хӗл,శీతకాలము
545,Winter::N,хӗлле,శీతకాలము
546,Januar::N,январь,జనవరి
547,Februar::N,февраль,ఫిబ్రవరి
548,Februar::N,кӗҫӗн кӑрлач,ఫిబ్రవరి
549,März::N,март,మార్చి
550,März::N,пуш уйӑхӗ,మార్చి
551,April::N,апрель,ఏప్రిలు
552,Mai::N,май,మే
553,Juni::N,июнь,జూన్
554,Juli::N,июль,జూలై
555,August::N,август,ఆగస్టు
556,September::N,сентябрь,సెప్ఠెంబరు
557,September::N,авӑн уйӑхӗ,సెప్ఠెంబరు
558,Oktober::N,октябрь,అక్టోబరు
559,November::N,ноябрь,నవంబరు
560,Dezember::N,раштав,డిసెంబర్
561,Dezember::N,декабрь,డిసెంబర్
562,Montag::N,тунти кун,సోమవారము
563,Dienstag::N,ытлари кун,మంగళవారము
564,Mittwoch::N,юн кун,బుధవారము
565,Donnerstag::N,кӗҫнерни кун,గురువారము
566,Freitag::N,эрне кун,శుక్రవారము
567,Samstag::N,шӑмат кун,శనివారము
568,Sonntag::N,вырсарни кун,ఆదివారము
569,groß::A,пысӑк,గొప్పైన
570,klein::A,пӗчӗк,చిన్న
