,Concept_ID,is,bg
371,Gewicht::N,þyngd,тегло
372,Gewicht::N,þyngd,тежест
373,Menge::N,magn,количество
374,Haufen::N,hrúga,куп
375,Haufen::N,hrúga,грамада
376,Haufen::N,haugur,куп
377,Haufen::N,haugur,грамада
378,Reihe::N,röð,ред
379,Reihe::N,röð,редица
380,Boot::N,bátur,лодка
381,Ruder::N,ár,весло
382,Ruder::N,ár,гребло
383,Schlitten::N,sleði,шейна
384,Ski::N,skíði,ски
385,Lagerfeuer::N,varðeldur,огнище
386,Last::N,byrði,товар
387,Last::N,farmur,товар
388,Gang::N,ganga,ход
389,Gang::N,ganga,вървеж
390,Schritt::N,skref,стъпка
391,Norden::N,norður,север
392,Süden::N,suður,юг
393,Westen::N,vestur,запад
394,Osten::N,austur,изток
395,Holz::N,viður,дърво
396,Brett::N,fjöl,дъска
397,Platte::N,flötur,
398,Stütze::N,stoð,
399,Stange::N,stöng,прът
400,Stange::N,stöng,върлина
401,Stock::N,prik,прът
402,Stock::N,prik,тояга
403,Stock::N,stafur,прът
404,Stock::N,stafur,тояга
405,Stab::N,prik,прът
406,Stab::N,stafur,прът
407,Rohr::N,rör,цев
408,Rohr::N,rör,тръба
409,Rohr::N,pípa,цев
410,Rohr::N,pípa,тръба
411,Haus::N,hús,къща
412,Heim::N,heimili,дом
413,Ofen::N,ofn,печка
414,Fußboden::N,gólf,под
415,Tisch::N,borð,маса
416,Stuhl::N,stóll,стол
417,Wiege::N,vagga,люлка
418,Bett::N,rúm,легло
419,Bett::N,rúm,креват
420,Bett::N,hvíla,легло
421,Bett::N,hvíla,креват
422,Regal::N,hilla,рафт
423,Regal::N,hilla,етажерка
424,Kiste::N,kassi,кутия
425,Kiste::N,kassi,сандък
426,Fenster::N,gluggi,прозорец
427,Tür::N,dyr,врата
428,Tür::N,hurð,врата
429,Tor::N,hlið,врата
430,Zaun::N,girðing,ограда
431,Zaun::N,limgarður,ограда
432,Dach::N,þak,покрив
433,Leiter::N,stigi,стълба
434,Besen::N,sópur,метла
435,Spaten::N,spaði,лопата
436,Schaufel::N,skófla,лопата
437,Gabel::N,gaffall,вилица
438,Löffel::N,skeið,лъжица
439,Messer::N,hnífur,нож
440,Nagel::N,nögl,гвоздей
441,Netz::N,net,мрежа
442,Haken::N,krókur,кука
443,Haken::N,krókur,закачалка
444,Griff::N,tak,ръчка
445,Griff::N,tak,дръжка
446,Schloss::N,lás,брава
447,Schloss::N,lás,ключалка
448,Bild::N,mynd,картина
449,Figur::N,stytta,фигура
450,Puppe::N,brúða,кукла
451,Beutel::N,poki,кесия
452,Beutel::N,baggi,кесия
453,Bündel::N,böggull,връзка
454,Tasche::N,veski,чанта
455,Eimer::N,fata,кофа
456,Deckel::N,lok,капак
457,Deckel::N,lok,похлупак
