,Concept_ID,ab,de
77,Wolke::N,аҧсҭҳəа,Wolke
78,Regen::N,ақəа,Regen
79,Schnee::N,асы,Schnee
80,Eis::N,аҵаа,Eis
81,Frost::N,аҵаа,Frost
82,Kälte::N,ахьҭа,Kälte
83,Hitze::N,ашоура,Hitze
84,Raureif::N,аҵааҧшқа,Raureif
85,Regenbogen::N,ацəаҟəа,Regenbogen
86,Donner::N,адыд,Donner
87,Strömung::N,аиасра,Strömung
88,Strömung::N,амҩасра,Strömung
89,Tropfen::N,ацəыкəбар,Tropfen
90,Schaum::N,ашəах,Schaum
91,Schmutz::N,алымт,Schmutz
92,See::N,аӡиа,See
93,Sumpf::N,аӡмах,Sumpf
94,Wiese::N,адəы,Wiese
95,Wald::N,абна,Wald
96,Hügel::N,ахəы,Hügel
97,Anhöhe::N,аҳаракыра,Anhöhe
98,Berg::N,ашьха,Berg
99,Gipfel::N,ацəқəа,Gipfel
100,Höhle::N,аҳаҧы,Höhle
101,Abhang::N,анаара,Abhang
102,Quelle::N,аҵҵырҭа,Quelle
103,Bach::N,акəараҷҷа,Bach
104,Fluss::N,аӡиас,Fluss
105,Ufer::N,ахықə,Ufer
106,Küste::N,ахықə,Küste
107,Festland::N,абарра,Festland
108,Meer::N,амшын,Meer
109,Bucht::N,аӡбжьахала,Bucht
110,Insel::N,адгьылбжьаха,Insel
111,Blume::N,ашəҭ,Blume
112,Gras::N,аҳасакьын,Gras
113,Wurzel::N,адац,Wurzel
114,Baum::N,аҵла,Baum
115,Stamm::N,ашьапы,Stamm
116,Rinde::N,ацəа,Rinde
117,Ast::N,амахə,Ast
118,Ast::N,амахəҭа,Ast
119,Zweig::N,амахə,Zweig
120,Zweig::N,амахəҭа,Zweig
121,Blatt::N,абҕьы,Blatt
122,Birke::N,аҵааҵла,Birke
123,Kiefer[Baum]::N,амза,Kiefer
124,Weide[Baum]::N,аҧслыш,Weide
125,Tanne::N,аҧсаӡ,Tanne
126,Horn::N,атəыҩа,Horn
127,Feder::N,ахӡы,Feder
128,Fell::N,ацəа,Fell
129,Flügel::N,амҵəыжəа,Flügel
130,Klaue::N,ашьапхыц,Klaue
131,Schwanz::N,аҵыхəа,Schwanz
132,Ei::N,акəтаӷь,Ei
133,Nest::N,аҭра,Nest
134,Nest::N,аҵысҭра,Nest
135,Bau::N,аҭыҩра,Bau
136,Tier::N,аҧстəы,Tier
137,Tier::N,агыгшəыг,Tier
138,Herde::N,агəарҭа,Herde
139,Kuh::N,ажə,Kuh
140,Bulle::N,ацə,Bulle
141,Pferd::N,аҽы,Pferd
142,Schaf::N,ауаса,Schaf
143,Schwein::N,аҳəа,Schwein
144,Hund::N,ала,Hund
145,Katze::N,ацгəы,Katze
146,Bär::N,амшə,Bär
147,Eichhörnchen::N,аеш,Eichhörnchen
148,Elch::N,аҽаҩа,Elch
149,Fuchs::N,абгахəыҷы,Fuchs
150,Hase::N,ажьа,Hase
151,Maus::N,аҳəынаҧ,Maus
152,Wolf::N,абгаду,Wolf
153,Vogel::N,аҧсаатə,Vogel
154,Huhn::N,акəты,Huhn
155,Hahn::N,арбаҕь,Hahn
156,Gans::N,аҟыз,Gans
157,Adler::N,ауарба,Adler
158,Ente::N,акəата,Ente
159,Eule::N,аты,Eule
160,Kranich::N,апҟа,Kranich
161,Krähe::N,аҟəараан,Krähe
162,Kuckuck::N,акəыкəу,Kuckuck
163,Schwan::N,агьад,Schwan
164,Fisch::N,аҧсыӡ,Fisch
165,Barsch::N,ацəыбла,Barsch
166,Hecht::N,ахиаала,Hecht
167,Schlange[Tier]::N,амаҭ,Schlange
168,Wurm::N,ахəа,Wurm
169,Wurm::N,ахəац,Wurm
170,Spinne::N,абызкаҭаҳа,Spinne
171,Ameise::N,ашышкамс,Ameise
172,Laus::N,аҵа,Laus
173,Mücke::N,акəыбры,Mücke
174,Fliege::N,амҵ,Fliege
175,Schmetterling::N,аҧарҧалыкь,Schmetterling
176,Beere::N,аргуц,Beere
177,Apfel::N,аҵəа,Apfel
178,Pilz::N,акəкəбаа,Pilz
179,Zwiebel::N,аџьымшьы,Zwiebel
180,Zwiebel::N,аџьымшьхы,Zwiebel
181,Saat::N,ажəла,Saat
182,Korn::N,арыц,Korn
183,Heu::N,аҭəа,Heu
184,Schale::N,ацəа,Schale
185,Grube::N,ажра,Grube
186,Grube::N,атыша,Grube
187,Falle::N,арыҧҟьа,Falle
188,Schlinge::N,аҟəараҟəантə,Schlinge
189,Spur::N,ашьҭа,Spur
190,Asche::N,ахəа,Asche
191,Dreck::N,аҳəынҵəа,Dreck
192,Dreck::N,аҟьамсар,Dreck
193,Eisen::N,аиха,Eisen
194,Gold::N,ахьы,Gold
195,Silber::N,аразны,Silber
196,Kohle::N,арацəа,Kohle
197,Glas::N,асаркьа,Glas
198,Lehm::N,анышəаҧшь,Lehm
199,Sand::N,аҧслымӡ,Sand
200,Mensch::N,ауаҩы,Mensch
201,Mann::N,ахаҵа,Mann
202,Frau::N,аҧҳəыс,Frau
203,Kind::N,ахəыҷы,Kind
204,Junge::N,аҷкəын,Junge
205,Junge::N,ахаҵарҧыс,Junge
206,Mädchen::N,аӡӷаб,Mädchen
207,Familie::N,аҭаацəа,Familie
208,Großvater::N,абду,Großvater
209,Großmutter::N,анду,Großmutter
210,Eltern::N,ани аби,Eltern
211,Vater::N,аб,Vater
212,Mutter::N,ан,Mutter
213,Sohn::N,аҧа,Sohn
214,Tochter::N,аҧҳа,Tochter
215,Bruder::N,аиашьа,Bruder
216,Schwester::N,Аҳəшьа,Schwester
217,Onkel::N,абиашьа,Onkel
218,Onkel::N,аншьа,Onkel
219,Tante::N,абиаҳəшьа,Tante
220,Ehemann::N,ахаҵа,Ehemann
221,Ehemann::N,аҧшəма,Ehemann
222,Ehefrau::N,аҧҳəыс,Ehefrau
223,Freude::N,агəырӷьара,Freude
224,Gelächter::N,ачча,Gelächter
225,Gelächter::N,аччара,Gelächter
226,Glück::N,аразҟы,Glück
227,Kummer::N,агəырҩа,Kummer
228,Wunsch::N,агəхəтəы,Wunsch
229,Wunsch::N,аҭахра,Wunsch
230,Lust::N,агəазыҳəара,Lust
231,Geist::N,аҧсы,Geist
232,Gedanke::N,ахəыцырҭа,Gedanke
233,Gedächtnis::N,агəынкылара,Gedächtnis
234,Verstand::N,ахшыҩ,Verstand
235,Sinn::N,аҵакы,Sinn
236,Grund::N,амзыз,Grund
237,Wahrheit::N,аиаша,Wahrheit
238,Gespräch::N,аиҿцәажәара,Gespräch
239,Märchen::N,алакə,Märchen
240,Erzählung::N,ажәабжь,Erzählung
241,Nachricht::N,адырраҭара,Nachricht
242,Neuigkeit::N,ажәабжь ҿыц,Neuigkeit
243,Name::N,ахьӡ,Name
244,Rätsel::N,ацуфара,Rätsel
245,Rede::N,ажәа,Rede
246,Sprache::N,абызшəа,Sprache
247,Stimme::N,абжьы,Stimme
248,Wort::N,ажәа,Wort
249,Zeichen::N,адырга,Zeichen
250,Ruf::N,аҿҭы,Ruf
251,Lärm::N,ашьҭыбжь,Lärm
252,Laut::N,ашьҭыбжь,Laut
253,Ton::N,атон,Ton
254,Lied::N,ашəа,Lied
255,Ruhe::N,аҭынчра,Ruhe
256,Leute::N,ауаа,Leute
257,Volk::N,ажəлар,Volk
258,Arbeit::N,аусура,Arbeit
259,Gast::N,асас,Gast
260,Geschenk::N,аҳамҭа,Geschenk
261,Geschenk::N,аҿанҵа,Geschenk
262,Spiel::N,ахəмарра,Spiel
263,Gesellschaft::N,агəыҧ,Gesellschaft
264,Hilfe::N,ацхыраара,Hilfe
265,Freund::N,аҩыза,Freund
266,Kamerad::N,Аҧхнагьла,Kamerad
267,Angelegenheit::N,аус,Angelegenheit
268,Anzahl::N,ахыҧхьаӡара,Anzahl
269,Art::N,ахкы,Art
270,Stück::N,аҽыҭ,Stück
271,Teil::N,ахəҭа,Teil
272,Hälfte::N,абжа,Hälfte
273,Kreis::N,агьагьа,Kreis
274,Kreuz::N,аџьар,Kreuz
275,Linie::N,аицтәар,Linie
276,Strich::N,ацəаҳəа,Strich
277,Abstand::N,абжьара,Abstand
278,Entfernung::N,абжьара,Entfernung
279,Gegend::N,аҭыҧ,Gegend
280,Platz::N,аҭыҧ,Platz
281,Ort::N,аҭыҧ,Ort
282,Seite::N,аган,Seite
283,Mitte::N,агəҭа,Mitte
284,Gegenstand::N,амаҭəар,Gegenstand
285,Rand::N,аҵкар,Rand
286,Kante::N,авардым,Kante
287,Ecke::N,акəакь,Ecke
288,Spitze::N,аҧынҵа,Spitze
289,Ende::N,анаӡара,Ende
290,Loch::N,акылҵəара,Loch
291,Winkel::N,агҿаҩра,Winkel
292,Winkel::N,акəындхə,Winkel
293,Winkel::N,акəакь,Winkel
294,Muster::N,аҟҟа,Muster
295,Größe::N,изаҟароу,Größe
296,Länge::N,аура,Länge
297,Höhe::N,агылара,Höhe
298,Gewicht::N,акапан,Gewicht
299,Haufen::N,ачаҟəа,Haufen
300,Reihe::N,ацəаҳəа,Reihe
301,Boot::N,анышь,Boot
302,Ruder::N,ажəҩа,Ruder
303,Schlitten::N,ашəаҩауардын,Schlitten
304,Ski::N,ашəаҩа,Ski
305,Ski::N,ашьахаха,Ski
306,Lagerfeuer::N,еиқуу амца,Lagerfeuer
307,Last::N,ахьанҭара,Last
308,Gang::N,аныҟəара,Gang
309,Schritt::N,ашьаҿа,Schritt
310,Norden::N,аҩада,Norden
311,Süden::N,алада,Süden
312,Westen::N,амраҭашəара,Westen
313,Osten::N,амрагылара,Osten
314,Holz::N,амҿымаҭəахə,Holz
315,Brett::N,аӷəы,Brett
316,Platte::N,ахаҳәцәы,Platte
317,Stütze::N,аҵаргəа,Stütze
318,Stütze::N,агəышьаҟа,Stütze
319,Stange::N,акьат,Stange
320,Stock::N,алаба,Stock
321,Stab::N,акьат,Stab
322,Rohr::N,абыкь,Rohr
323,Haus::N,аҩны,Haus
324,Heim::N,аҭаацəа,Heim
325,Ofen::N,аҳақə,Ofen
326,Ofen::N,ауаџьаҟ,Ofen
327,Ofen::N,афрына,Ofen
328,Fußboden::N,адашьма,Fußboden
329,Tisch::N,аишәа,Tisch
330,Stuhl::N,аҟəардə,Stuhl
331,Wiege::N,агара,Wiege
332,Bett::N,акаруаҭ,Bett
333,Regal::N,акыӷəра,Regal
334,Kiste::N,аидчаҧала,Kiste
335,Fenster::N,аҧенџьыр,Fenster
336,Tür::N,ашə,Tür
337,Tor::N,агəашə,Tor
338,Zaun::N,аанда,Zaun
339,Dach::N,ахыб,Dach
340,Leiter::N,амардуан,Leiter
341,Besen::N,аҧссага,Besen
342,Spaten::N,ажыга,Spaten
343,Schaufel::N,аҭəарӷəы,Schaufel
344,Gabel::N,ачқьыҧ,Gabel
345,Löffel::N,амҳаҵə,Löffel
346,Messer::N,аҳəызба,Messer
347,Nagel::N,аҵəымӷ,Nagel
348,Netz::N,акаҭа,Netz
349,Haken::N,аҵəаҳə,Haken
350,Griff::N,амаа,Griff
351,Schloss::N,асаҧаҭ,Schloss
352,Bild::N,асахьа,Bild
353,Figur::N,афигура,Figur
354,Puppe::N,акьанџьа,Puppe
355,Beutel::N,асакь,Beutel
356,Bündel::N,аҿаҳəара,Bündel
357,Tasche::N,арҭмаҟ,Tasche
358,Eimer::N,аведра,Eimer
359,Deckel::N,ахҩа,Deckel
360,Geschirr::N,ачысмаҭəа,Geschirr
361,Sack::N,асакь,Sack
362,Tasse::N,аҵəца,Tasse
363,Topf::N,акаструлиа,Topf
364,Kessel::N,ачуан,Kessel
365,Nahrung::N,афатə,Nahrung
366,Speise::N,афатə,Speise
367,Fleisch::N,акəац,Fleisch
368,Getreide::N,ачакуа,Getreide
369,Brei::N,ақашь,Brei
370,Brot::N,ача,Brot
371,Scheibe::N,аҽыҭ,Scheibe
372,Scheibe::N,аҿаҵа,Scheibe
373,Fett::N,ашша,Fett
374,Butter::N,ахəша,Butter
375,Öl::N,азеҭ,Öl
376,Salz::N,аџьыка,Salz
377,Suppe::N,асуҧ,Suppe
378,Honig::N,ацха,Honig
379,Milch::N,ахш,Milch
380,Tee::N,ачаи,Tee
381,Leder::N,ацəа,Leder
382,Wolle::N,аласа,Wolle
383,Stoff::N,Аба,Stoff
384,Nadel::N,агəыр,Nadel
385,Faden::N,арахəыц,Faden
386,Knopf::N,аҳəынҵəра,Knopf
387,Knoten::N,аиқəҳəала,Knoten
388,Farbe::N,ашəыга,Farbe
389,Kleidung::N,амаҭəа,Kleidung
390,Hemd::N,акьаҿ,Hemd
391,Kragen::N,ахəда,Kragen
392,Ärmel::N,амаӷра,Ärmel
393,Hose::N,аиқəа,Hose
394,Gürtel::N,амаҟа,Gürtel
395,Mütze::N,ахылҧа,Mütze
396,Schuh::N,аимаа,Schuh
397,Stiefel::N,амагə,Stiefel
